name,slug,value,date_of_information,ranking,region
"Niger","niger","46.86","2023",1,"Africa"
"Angola","angola","41.42","2023",2,"Africa"
"Benin","benin","40.72","2023",3,"Africa"
"Mali","mali","40.54","2023",4,"Africa"
"Uganda","uganda","40.27","2023",5,"Africa"
"Chad","chad","39.85","2023",6,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","39.64","2023",7,"Africa"
"Somalia","somalia","37.71","2023",8,"Africa"
"South Sudan","south-sudan","37.07","2023",9,"Africa"
"Mozambique","mozambique","36.94","2023",10,"Africa"
"Liberia","liberia","36.26","2023",11,"Africa"
"Guinea-Bissau","guinea-bissau","36.25","2023",12,"Africa"
"Guinea","guinea","35.47","2023",13,"Africa"
"Cameroon","cameroon","35.13","2023",14,"Africa"
"Burundi","burundi","34.87","2023",15,"Africa"
"Afghanistan","afghanistan","34.79","2023",16,"South Asia"
"Zambia","zambia","34.48","2023",17,"Africa"
"Nigeria","nigeria","34","2023",18,"Africa"
"Sudan","sudan","33.32","2023",19,"Africa"
"Tanzania","tanzania","32.9","2023",20,"Africa"
"Zimbabwe","zimbabwe","32.77","2023",21,"Africa"
"Burkina Faso","burkina-faso","32.71","2023",22,"Africa"
"Central African Republic","central-african-republic","32.37","2023",23,"Africa"
"Congo, Republic of the","congo-republic-of-the","31.55","2023",24,"Africa"
"Sierra Leone","sierra-leone","31.49","2023",25,"Africa"
"Togo","togo","31.39","2023",26,"Africa"
"Senegal","senegal","30.84","2023",27,"Africa"
"Timor-Leste","timor-leste","30.36","2023",28,"East and Southeast Asia"
"Ethiopia","ethiopia","29.97","2023",29,"Africa"
"Equatorial Guinea","equatorial-guinea","29.46","2023",30,"Africa"
"Papua New Guinea","papua-new-guinea","28.54","2023",31,"East and Southeast Asia"
"Madagascar","madagascar","28.14","2023",32,"Africa"
"Ghana","ghana","28.04","2023",33,"Africa"
"Gambia, The","gambia-the","28.03","2023",34,"Africa"
"Cote d'Ivoire","cote-divoire","27.92","2023",35,"Africa"
"Mauritania","mauritania","27.61","2023",36,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","27.43","2023",37,"Africa"
"Malawi","malawi","27.29","2023",38,"Africa"
"Gaza Strip","gaza-strip","27.2","2023",39,"Middle East"
"Eritrea","eritrea","26.72","2023",40,"Africa"
